ID,Unnamed: 0,Location,URL,Size (m²),Condominio Content,Price By Month,Price Condominio,Whatsapp Contact
15,14,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
51,50,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
86,85,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
123,122,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
158,157,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
194,193,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
230,229,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
266,265,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
303,302,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
338,337,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS550000-id-2477411343/,42,"['Mobiliado', 'Elevador', 'Piscina', 'Churrasqueira', 'Salão de festas', '...']",2900,440,(11) 99408-2089
